Entry Point,Month,Value,Year,Category,Region,Conservation Area,Visitors,Metric,English_Year,Group,Count,Type,Hotel_Type,Hotel_Count,Bed_Count,Types of Course,Details,Third Country,Indian,% Change,Gender,Age_Group,Total,Nationality,Percent
,,62.8,2003/04,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,10463.8,2004/05,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,72.1,2004/05,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,145.2,2004/05,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-41,2004/05,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,9555.8,2005/06,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,72.3,2005/06,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,132.1,2005/06,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-9,2005/06,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,10125.3,2006/07,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,70.5,2006/07,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,143.6,2006/07,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,8.7,2006/07,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,18653.1,2007/08,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,65,2007/08,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,286.9,2007/08,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,99.7,2007/08,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,27959.8,2008/09,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,76.9,2008/09,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,363.7,2008/09,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,26.8,2008/09,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,28138.6,2009/10,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,74.5,2009/10,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,377.5,2009/10,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,3.8,2009/10,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,24610.7,2010/11,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,72.3,2010/11,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,340.5,2010/11,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-9.8,2010/11,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,30703.8,2011/12,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,81,2011/12,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,379,2011/12,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,11.3,2011/12,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,34210.6,2012/13,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,88,2012/13,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,389,2012/13,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,2.6,2012/13,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,46374.9,2013/14,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,98.3,2013/14,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,472,2013/14,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,21.4,2013/14,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,53428.6,2014/15,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,99.5,2014/15,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,537,2014/15,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,13.8,2014/15,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,41765.3,2015/16,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,106.4,2015/16,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,392.7,2015/16,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-26.9,2015/16,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,58526.9,2016/17,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,106.2,2016/17,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,551,2016/17,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,40.3,2016/17,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,68521.7,2017/18,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,104.4,2017/18,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,656.5,2017/18,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,19.1,2017/18,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,75374.1,2018/19,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,112.9,2018/19,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,667.7,2018/19,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,1.7,2018/19,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,60885,2019/20,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,116.3,2019/20,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,523.5,2019/20,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-21.6,2019/20,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,7266.3,2020/21,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,117.9,2020/21,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,61.6,2020/21,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,-88.2,2020/21,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,32447.2,2021/22,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,120.8,2021/22,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,268.5,2021/22,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,335.6,2021/22,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,61522.7,2022/23,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,130.7,2022/23,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,470.6,2022/23,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,75.2,2022/23,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,82326.6,2023/24,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,133,2023/24,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,618.8,2023/24,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,29.9,2023/24,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,49214.6,2024/25*,,,,,Total_NPR_Millions,,,,,,,,,,,,,,,,,
,,135.4,2024/25*,,,,,Annual_Average_Exchange_Rate,,,,,,,,,,,,,,,,,
,,363.4,2024/25*,,,,,US$_Million,,,,,,,,,,,,,,,,,
,,,2024/25*,,,,,Percent_Change_US$,,,,,,,,,,,,,,,,,
,,8654.3,2001/02,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,14.9,2001/02,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,10.6,2001/02,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.4,2001/02,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.9,2001/02,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,11747.7,2002/03,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,23.1,2002/03,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,15.2,2002/03,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,7.1,2002/03,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.4,2002/03,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,18147.4,2003/04,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,32.9,2003/04,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,20.3,2003/04,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,9.9,2003/04,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,3.4,2003/04,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,10463.8,2004/05,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,17.5,2004/05,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,12.2,2004/05,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.3,2004/05,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.8,2004/05,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,9555.8,2005/06,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,15.5,2005/06,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,10.9,2005/06,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.1,2005/06,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.5,2005/06,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,10125.3,2006/07,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,16.5,2006/07,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,10.8,2006/07,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.1,2006/07,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.4,2006/07,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,18653.1,2007/08,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,30.1,2007/08,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,17.9,2007/08,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,6.0,2007/08,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.3,2007/08,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,27959.8,2008/09,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,40.0,2008/09,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,22.8,2008/09,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,6.9,2008/09,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.8,2008/09,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,28138.6,2009/10,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,44.5,2009/10,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,24.6,2009/10,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,6.6,2009/10,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.4,2009/10,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,24610.7,2010/11,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,35.8,2010/11,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,20.2,2010/11,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.3,2010/11,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.6,2010/11,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,30703.8,2011/12,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,37.7,2011/12,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,20.0,2011/12,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.9,2011/12,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.7,2011/12,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,34210.6,2012/13,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,39.8,2012/13,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,18.9,2012/13,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.8,2012/13,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.8,2012/13,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,46374.9,2013/14,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,45.9,2013/14,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,20.5,2013/14,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.1,2013/14,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.1,2013/14,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,53428.6,2014/15,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,54.4,2014/15,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,21.6,2014/15,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.2,2014/15,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.2,2014/15,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,41765.3,2015/16,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,55.8,2015/16,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,19.6,2015/16,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.0,2015/16,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.6,2015/16,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,58526.9,2016/17,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,71.3,2016/17,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,24.3,2016/17,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.0,2016/17,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.9,2016/17,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,68521.7,2017/18,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,73.3,2017/18,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,25.4,2017/18,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.6,2017/18,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.0,2017/18,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,75374.1,2018/19,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,66.3,2018/19,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,25.1,2018/19,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,5.4,2018/19,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,2.0,2018/19,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,60885.0,2019/20,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,56.2,2019/20,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,23.0,2019/20,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,4.6,2019/20,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.6,2019/20,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,7266.3,2020/21,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,5.1,2020/21,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,3.3,2020/21,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,0.5,2020/21,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,0.2,2020/21,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,32447.2,2021/22,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,15.3,2021/22,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,9.7,2021/22,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,2.1,2021/22,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,0.7,2021/22,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,61522.7,2022/23,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,33.5,2022/23,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,16.5,2022/23,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,3.4,2022/23,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.1,2022/23,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,82326.6,2023/24,,,,,Total_Foreign_Exchange_Earnings_from_Tourism,,,,,,,,,,,,,,,,,
,,45.1,2023/24,,,,,As_percent_of_total_merchandise_exports,,,,,,,,,,,,,,,,,
,,18.9,2023/24,,,,,As_percent_of_total_merchandise_goods_and_services,,,,,,,,,,,,,,,,,
,,3.8,2023/24,,,,,As_percent_of_total_foreign_exchange_reserves,,,,,,,,,,,,,,,,,
,,1.4,2023/24,,,,,As_percent_of_GDP,,,,,,,,,,,,,,,,,
,,5.41,2071/72,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2014/15,,,,,,,,,,,,,,,,
,,-7.98,2072/73,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2015/16,,,,,,,,,,,,,,,,
,,13.39,2073/74,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2016/17,,,,,,,,,,,,,,,,
,,12.21,2074/75,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2017/18,,,,,,,,,,,,,,,,
,,9.92,2075/76,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2018/19,,,,,,,,,,,,,,,,
,,-36.78,2076/77,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2019/20,,,,,,,,,,,,,,,,
,,10.73,2077/78,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2020/21,,,,,,,,,,,,,,,,
,,12.56,2078/79 R,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2021/22,,,,,,,,,,,,,,,,
,,18.03,2079/80 R,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2022/23,,,,,,,,,,,,,,,,
,,21.84,2080/81 P,,,,,Annual_Growth_Rate_at_constant_price_2058_59_percent,2023/24,,,,,,,,,,,,,,,,
,,152336.0,2071/72,,,,,Gross_Output_at_current_price_Rs_millions,2014/15,,,,,,,,,,,,,,,,
,,183800.0,2072/73,,,,,Gross_Output_at_current_price_Rs_millions,2015/16,,,,,,,,,,,,,,,,
,,238040.0,2073/74,,,,,Gross_Output_at_current_price_Rs_millions,2016/17,,,,,,,,,,,,,,,,
,,260255.0,2074/75,,,,,Gross_Output_at_current_price_Rs_millions,2017/18,,,,,,,,,,,,,,,,
,,278733.0,2075/76,,,,,Gross_Output_at_current_price_Rs_millions,2018/19,,,,,,,,,,,,,,,,
,,197921.0,2076/77,,,,,Gross_Output_at_current_price_Rs_millions,2019/20,,,,,,,,,,,,,,,,
,,214199.0,2077/78,,,,,Gross_Output_at_current_price_Rs_millions,2020/21,,,,,,,,,,,,,,,,
,,236245.0,2078/79 R,,,,,Gross_Output_at_current_price_Rs_millions,2021/22,,,,,,,,,,,,,,,,
,,312716.0,2079/80 R,,,,,Gross_Output_at_current_price_Rs_millions,2022/23,,,,,,,,,,,,,,,,
,,402843.0,2080/81 P,,,,,Gross_Output_at_current_price_Rs_millions,2023/24,,,,,,,,,,,,,,,,
,,106429.0,2071/72,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2014/15,,,,,,,,,,,,,,,,
,,137524.0,2072/73,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2015/16,,,,,,,,,,,,,,,,
,,181891.0,2073/74,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2016/17,,,,,,,,,,,,,,,,
,,192940.0,2074/75,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2017/18,,,,,,,,,,,,,,,,
,,203083.0,2075/76,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2018/19,,,,,,,,,,,,,,,,
,,147489.0,2076/77,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2019/20,,,,,,,,,,,,,,,,
,,155420.0,2077/78,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2020/21,,,,,,,,,,,,,,,,
,,168015.0,2078/79 R,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2021/22,,,,,,,,,,,,,,,,
,,220034.0,2079/80 R,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2022/23,,,,,,,,,,,,,,,,
,,280517.0,2080/81 P,,,,,Intermediate_Consumption_at_current_price_Rs_millions,2023/24,,,,,,,,,,,,,,,,
,,45907.0,2071/72,,,,,Gross_Value_Added_at_current_price_Rs_millions,2014/15,,,,,,,,,,,,,,,,
,,46276.0,2072/73,,,,,Gross_Value_Added_at_current_price_Rs_millions,2015/16,,,,,,,,,,,,,,,,
,,56149.0,2073/74,,,,,Gross_Value_Added_at_current_price_Rs_millions,2016/17,,,,,,,,,,,,,,,,
,,67315.0,2074/75,,,,,Gross_Value_Added_at_current_price_Rs_millions,2017/18,,,,,,,,,,,,,,,,
,,75650.0,2075/76,,,,,Gross_Value_Added_at_current_price_Rs_millions,2018/19,,,,,,,,,,,,,,,,
,,50433.0,2076/77,,,,,Gross_Value_Added_at_current_price_Rs_millions,2019/20,,,,,,,,,,,,,,,,
,,58779.0,2077/78,,,,,Gross_Value_Added_at_current_price_Rs_millions,2020/21,,,,,,,,,,,,,,,,
,,68230.0,2078/79 R,,,,,Gross_Value_Added_at_current_price_Rs_millions,2021/22,,,,,,,,,,,,,,,,
,,92682.0,2079/80 R,,,,,Gross_Value_Added_at_current_price_Rs_millions,2022/23,,,,,,,,,,,,,,,,
,,122326.0,2080/81 P,,,,,Gross_Value_Added_at_current_price_Rs_millions,2023/24,,,,,,,,,,,,,,,,
,,29799.0,2071/72,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2014/15,,,,,,,,,,,,,,,,
,,27420.0,2072/73,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2015/16,,,,,,,,,,,,,,,,
,,31092.0,2073/74,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2016/17,,,,,,,,,,,,,,,,
,,34887.0,2074/75,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2017/18,,,,,,,,,,,,,,,,
,,38348.0,2075/76,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2018/19,,,,,,,,,,,,,,,,
,,24245.0,2076/77,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2019/20,,,,,,,,,,,,,,,,
,,26847.0,2077/78,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2020/21,,,,,,,,,,,,,,,,
,,30220.0,2078/79 R,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2021/22,,,,,,,,,,,,,,,,
,,35668.0,2079/80 R,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2022/23,,,,,,,,,,,,,,,,
,,43499.0,2080/81 P,,,,,Gross_Value_Added_at_constant_price_Rs_millions,2023/24,,,,,,,,,,,,,,,,
,,2.1,2071/72,,,,,Proportion_of_GDP_at_current_price_percent,2014/15,,,,,,,,,,,,,,,,
,,1.98,2072/73,,,,,Proportion_of_GDP_at_current_price_percent,2015/16,,,,,,,,,,,,,,,,
,,2.06,2073/74,,,,,Proportion_of_GDP_at_current_price_percent,2016/17,,,,,,,,,,,,,,,,
,,2.24,2074/75,,,,,Proportion_of_GDP_at_current_price_percent,2017/18,,,,,,,,,,,,,,,,
,,2.26,2075/76,,,,,Proportion_of_GDP_at_current_price_percent,2018/19,,,,,,,,,,,,,,,,
,,1.47,2076/77,,,,,Proportion_of_GDP_at_current_price_percent,2019/20,,,,,,,,,,,,,,,,
,,1.58,2077/78,,,,,Proportion_of_GDP_at_current_price_percent,2020/21,,,,,,,,,,,,,,,,
,,1.72,2078/79 R,,,,,Proportion_of_GDP_at_current_price_percent,2021/22,,,,,,,,,,,,,,,,
,,1.96,2079/80 R,,,,,Proportion_of_GDP_at_current_price_percent,2022/23,,,,,,,,,,,,,,,,
,,2.42,2080/81 P,,,,,Proportion_of_GDP_at_current_price_percent,2023/24,,,,,,,,,,,,,,,,
,,154.06,2071/72,,,,,GDP_Deflator,2014/15,,,,,,,,,,,,,,,,
,,168.77,2072/73,,,,,GDP_Deflator,2015/16,,,,,,,,,,,,,,,,
,,180.59,2073/74,,,,,GDP_Deflator,2016/17,,,,,,,,,,,,,,,,
,,192.95,2074/75,,,,,GDP_Deflator,2017/18,,,,,,,,,,,,,,,,
,,197.27,2075/76,,,,,GDP_Deflator,2018/19,,,,,,,,,,,,,,,,
,,208.01,2076/77,,,,,GDP_Deflator,2019/20,,,,,,,,,,,,,,,,
,,218.94,2077/78,,,,,GDP_Deflator,2020/21,,,,,,,,,,,,,,,,
,,225.78,2078/79 R,,,,,GDP_Deflator,2021/22,,,,,,,,,,,,,,,,
,,259.84,2079/80 R,,,,,GDP_Deflator,2022/23,,,,,,,,,,,,,,,,
,,281.47,2080/81 P,,,,,GDP_Deflator,2023/24,,,,,,,,,,,,,,,,
,January,,2012,,,,,,,Nepali,170,,,,,,,,,,,,,,
,February,,2012,,,,,,,Nepali,176,,,,,,,,,,,,,,
,March,,2012,,,,,,,Nepali,203,,,,,,,,,,,,,,
,April,,2012,,,,,,,Nepali,186,,,,,,,,,,,,,,
,May,,2012,,,,,,,Nepali,119,,,,,,,,,,,,,,
,June,,2012,,,,,,,Nepali,32,,,,,,,,,,,,,,
,July,,2012,,,,,,,Nepali,31,,,,,,,,,,,,,,
,August,,2012,,,,,,,Nepali,46,,,,,,,,,,,,,,
